Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,86335,30,2877.8,2864.0,2656,3136,81.9,  32    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,86277,30,2875.9,2848.0,2784,3104,90.7,  64    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,85692,40,2142.3,2144.0,2111,2240,32.4,   2    2    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,84861,40,2121.5,2016.0,1919,2624,208.7,  46    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,84287,40,2107.2,2048.0,1984,2399,126.8,   4    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,83998,39,2153.8,2048.0,1983,2464,196.2,  23    1    1, 512    1    1,"void reduce_rows_f32<(bool)0>(const float *, float *, int)"
0.0,83776,40,2094.4,2016.0,1760,2784,211.0,   2    8    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,82974,10,8297.4,8304.0,8191,8384,64.2, 256    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)12, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,82210,40,2055.3,1952.0,1920,2400,181.7,  23    1    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.0,78689,40,1967.2,1983.5,1920,2016,21.7,   8    1    4, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,78688,30,2622.9,2496.0,2463,5953,630.9,   8    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,77916,40,1947.9,1920.0,1888,2272,88.5,   8    4    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,75872,30,2529.1,2528.0,2495,2560,21.5,   1    1    1,  16    2    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,75870,30,2529.0,2528.0,2495,2561,23.0,   1    1    1,  16    2    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,74816,40,1870.4,1824.0,1792,3456,265.4,   8    1    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,74401,40,1860.0,1792.0,1759,3745,308.6,   2    1    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,73599,10,7359.9,7359.5,7008,7648,172.7, 256    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)12, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,72831,39,1867.5,1760.0,1727,2112,161.6,   1    1    1,   4   23    1,"void k_bin_bcast<&op_div, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,72416,40,1810.4,1792.0,1759,2144,64.0,   2    4    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,70207,30,2340.2,2336.0,2272,2464,34.4,  16    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,69214,40,1730.4,1696.0,1663,2016,88.0,   8    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,66369,30,2212.3,2144.0,2080,3809,309.6,   1    1    1,  16    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,65025,30,2167.5,2048.0,1984,2752,206.8,   1    3    1,  16    8    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,64926,39,1664.8,1568.0,1504,2272,174.8,   1    1    1, 256    1    1,"void op_clamp_kernel<float>(const T1 *, T1 *, T1, T1, int)"
0.0,64291,30,2143.0,2048.0,2015,2401,161.4,   1    3    1,  16    8    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,63680,30,2122.7,2080.0,2047,2752,132.4,   1    1    1,  16    4    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,63133,30,2104.4,2080.0,2047,2401,80.7,   1    1    1,  16    4    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,62686,10,6268.6,6192.0,6048,6784,223.9, 512    1    1,  32    2    1,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,56480,10,5648.0,5472.0,5344,6464,409.0, 368    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,56350,12,4695.8,4656.0,3744,5504,456.3,  20    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)21, (int)24, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,54943,10,5494.3,5168.5,5119,6304,559.0, 368    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,54911,30,1830.4,1792.0,1760,2144,86.6,   1    1    1, 256    1    1,"void unary_gated_op_kernel<&op_softplus, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,50461,30,1682.0,1568.0,1535,2144,190.4,   3    1    1, 256    1    1,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.0,50205,30,1673.5,1600.0,1536,1888,135.8,   3    1    1, 256    1    1,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.0,41375,10,4137.5,4128.0,4000,4256,74.1,   2    4    8, 256    1    1,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.0,40608,10,4060.8,3984.0,3744,4800,363.4, 368    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,40255,20,2012.8,2000.0,1728,2559,281.3,   1    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,36031,2,18015.5,18015.5,17951,18080,91.2,2048    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)21, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,34367,10,3436.7,3248.0,3168,3936,336.0,  92    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,33569,10,3356.9,3360.0,3296,3456,43.9, 256    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.0,33377,10,3337.7,3344.0,3264,3424,45.4,  16    2    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
